epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8551792502403259,0.9227221608161926,0.0010000000474974513,0.4544583857059479,0.8552494645118713,0.8550803661346436,0.9278421998023987,0.9795799255371094,0.1933760792016983,0.9278296828269958,0.9276691675186157
1,0.8831644058227539,0.9498761296272278,0.0010000000474974513,0.2932547628879547,0.8833102583885193,0.8829171657562256,0.9145180583000183,0.9744805097579956,0.2062816619873047,0.914503276348114,0.9143450260162354
2,0.8793572187423706,0.94855135679245,0.0010000000474974513,0.3027251958847046,0.8795192837715149,0.8792583346366882,0.9171136617660522,0.9734725952148438,0.2094055861234665,0.9171136617660522,0.9171136617660522
3,0.8706057071685791,0.9428084492683411,0.0010000000474974513,0.3326300382614136,0.8705800771713257,0.8704079389572144,0.9176328182220459,0.9697728753089905,0.2248491793870926,0.9179505109786987,0.9176328182220459
4,0.8916192650794983,0.9565798044204712,0.00020000000949949026,0.2707827389240265,0.8917462229728699,0.8915698528289795,0.9356290102005005,0.9818600416183472,0.18123985826969147,0.9356290102005005,0.9356290102005005
5,0.8950309157371521,0.9603285193443298,0.00020000000949949026,0.25579625368118286,0.8950492143630981,0.8947836756706238,0.9292265176773071,0.9793611168861389,0.18520189821720123,0.9292265176773071,0.9292265176773071
6,0.8957725763320923,0.9595125317573547,0.00020000000949949026,0.2587389051914215,0.8958951830863953,0.8956736922264099,0.9250735640525818,0.9777147173881531,0.1912950724363327,0.9250735640525818,0.9250735640525818
7,0.8960197567939758,0.959955096244812,0.00020000000949949026,0.2569306790828705,0.8960537910461426,0.8959208726882935,0.9304378032684326,0.9807124137878418,0.17977172136306763,0.9304378032684326,0.9304378032684326
8,0.8975525498390198,0.9610943794250488,0.00020000000949949026,0.25365346670150757,0.8976109027862549,0.8972558975219727,0.9300917387008667,0.9812928438186646,0.17935024201869965,0.9300674796104431,0.929745614528656
9,0.8935970067977905,0.9596036076545715,0.00020000000949949026,0.259397029876709,0.8937190771102905,0.8934981226921082,0.9271500110626221,0.9796643257141113,0.18670475482940674,0.9274709820747375,0.9271500110626221
10,0.8977503180503845,0.9618415236473083,0.00010000000474974513,0.2502554655075073,0.8979228734970093,0.897700846195221,0.9287073612213135,0.979667067527771,0.18425090610980988,0.9288434982299805,0.9283612966537476
11,0.8996291756629944,0.9620676636695862,0.00010000000474974513,0.24984237551689148,0.8998071551322937,0.8996291756629944,0.9292265176773071,0.9806526899337769,0.181044340133667,0.9292265176773071,0.9292265176773071
12,0.8968108892440796,0.9609568119049072,2.0000001313746907e-05,0.2534606456756592,0.8968791961669922,0.8966131210327148,0.9330334067344666,0.982204258441925,0.1761944442987442,0.9331948757171631,0.9330334067344666
13,0.8961186408996582,0.9599919319152832,2.0000001313746907e-05,0.25625771284103394,0.8961578607559204,0.8960692286491394,0.929745614528656,0.9814239740371704,0.18054579198360443,0.9298943877220154,0.929572582244873
14,0.9021013379096985,0.962367057800293,2.0000001313746907e-05,0.24805492162704468,0.9023002982139587,0.9018541574478149,0.9358020424842834,0.9833939075469971,0.17371687293052673,0.9361149668693542,0.9356290102005005
15,0.8994808197021484,0.9621765613555908,2.0000001313746907e-05,0.24909256398677826,0.8997823596000671,0.8993819355964661,0.9361481070518494,0.9829503297805786,0.175789937376976,0.9361481070518494,0.9361481070518494
16,0.8989369869232178,0.9630696773529053,2.0000001313746907e-05,0.24582859873771667,0.8990553617477417,0.8987886309623718,0.9363211393356323,0.9833142161369324,0.17418046295642853,0.9364722371101379,0.9361481070518494
17,0.8993325233459473,0.9633699655532837,2.0000001313746907e-05,0.24532486498355865,0.8994905352592468,0.8991347551345825,0.9340716600418091,0.9824339747428894,0.17675623297691345,0.9342333078384399,0.9340716600418091
18,0.9010630249977112,0.9633915424346924,4.000000444648322e-06,0.24429886043071747,0.9011374711990356,0.90091472864151,0.934417724609375,0.9826453924179077,0.17539657652378082,0.9347299337387085,0.934244692325592
19,0.901705801486969,0.9636970162391663,4.000000444648322e-06,0.24389976263046265,0.9019190669059753,0.9016069173812866,0.9326873421669006,0.9819332361221313,0.17787019908428192,0.9328487515449524,0.9326873421669006
