epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
20,0.9024969339370728,0.9634914994239807,9.999999747378752e-06,0.244252011179924,0.9026561975479126,0.9022991061210632,0.931995153427124,0.9821545481681824,0.17674791812896729,0.931995153427124,0.931995153427124
21,0.8984425067901611,0.9642384648323059,9.999999747378752e-06,0.24240440130233765,0.8987091183662415,0.8984425067901611,0.9307838678359985,0.9816281795501709,0.17792946100234985,0.9307838678359985,0.9307838678359985
22,0.8994314074516296,0.9623628258705139,9.999999747378752e-06,0.24801702797412872,0.899589478969574,0.8992336392402649,0.9338986277580261,0.9825500249862671,0.17609956860542297,0.9338871836662292,0.9337255358695984
23,0.8992830514907837,0.9628631472587585,9.999999747378752e-06,0.24668702483177185,0.8994805812835693,0.8990358710289001,0.9363211393356323,0.9831221103668213,0.17300747334957123,0.9364722371101379,0.9361481070518494
24,0.9022002220153809,0.9649396538734436,9.999999747378752e-06,0.23950006067752838,0.9023943543434143,0.9019035696983337,0.9370133280754089,0.9830386638641357,0.17324502766132355,0.9371755123138428,0.9370133280754089
25,0.9001235961914062,0.9637446999549866,9.999999747378752e-06,0.24334602057933807,0.9003363251686096,0.9000247120857239,0.9370133280754089,0.9833908677101135,0.1726044863462448,0.9373268485069275,0.936840295791626
26,0.8979974985122681,0.9625087380409241,9.999999747378752e-06,0.24777071177959442,0.8982833027839661,0.8977503180503845,0.9358020424842834,0.9829617142677307,0.17349566519260406,0.9358020424842834,0.9358020424842834
27,0.9002719521522522,0.9640949368476868,9.999999747378752e-06,0.2423020303249359,0.900479793548584,0.9001235961914062,0.9337255358695984,0.9825890064239502,0.17537204921245575,0.9337140917778015,0.9335525035858154
28,0.9021013379096985,0.9641485810279846,9.999999747378752e-06,0.24212238192558289,0.9023400545120239,0.9018046855926514,0.9333794713020325,0.9824135303497314,0.17596861720085144,0.9335409998893738,0.9333794713020325
29,0.8999258279800415,0.9642415046691895,1.9999999949504854e-06,0.2419995814561844,0.9001483917236328,0.8999258279800415,0.9358020424842834,0.982867956161499,0.17392154037952423,0.9358020424842834,0.9358020424842834
30,0.9053152203559875,0.9647666811943054,1.9999999949504854e-06,0.23985505104064941,0.905515730381012,0.9050679802894592,0.9330334067344666,0.9819945096969604,0.1771463304758072,0.9331717491149902,0.9326873421669006
